Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,in_resume
education,PhD Candidate in Quantitative Proteomics,JGU University,"Mainz, Germany",2018,,PhD thesis: Quantitative Mass Spectrometry-based Proteomics to Investigate RNA-protein Interactions,,,,,TRUE
education,M.Sc. in Omics Data Analysis,University of Vic,"Barcelona, Spain",2016,2017,Master thesis: Soring function for finding Lolium Perenne DEGs,Erasmus + grant fellow,,,,TRUE
education,B.Sc. in Biochemestry,University of Barcelona,"Barcelona, Spain",2009,2016,Bachelor thesis: NMR studies on alpha-synuclein,Erasmus + grant fellow,,,,
research_positions,Postdoctoral Researcher,Friedrich Loeffler Institute,"Greifswald, Germany",2023,,Postdoctoral researcher with Dr. Falk Butter (Falk.Butter@fli.de),"Publications: 1 first-author paper (in preparation),  1 co-author paper (in preparation)",,,,TRUE
research_positions,PhD Candidate,Institute of Molecular Biology ,"Mainz, Germany",2018,2023,PhD candidate with Dr. Falk Butter (Falk.Butter@fli.de),"Publications: 1 first-author paper,  6 co-author papers",,,,TRUE
research_positions,Master Student,"Institute of Biological, Environmental and Rural Sciences","Aberystwyth, UK",,2017,MSc student with Dr. Narcis Fernandez-Fuentes (naf4@aber.ac.uk),"Publications: 1 first-authtor paper, 1 co-author paper",,,,TRUE
academic_articles,Articles with Genomics Analysis,,,,,2022 | PLoS Pathogens | https://doi.org/10.1371/journal.ppat.1010514,2021 | Nature Comunications | https://doi.org/10.1038/s41467-021-22861-2,2021 | PLoS One | https://doi.org/10.1371/journal.pone.0249636,2019 | PLoS One | https://doi.org/10.1371/journal.pone.0220518,,TRUE
academic_articles,Articles with Proteomics Analysis,,,,,2023 | Nucleic Acid Research | https://doi.org/10.1093/nar/gkad245,2023 |  iScience | https://doi.org/10.1016/j.isci.2023.106778,2023 | PLoS Pathogens | https://doi.org/10.1371/journal.ppat.1011486,2021 | Journal of Cell Science | https://doi.org/10.1242/jcs.254300,2020 | RNA | https://doi.org/10.1261/rna.076281.120,TRUE
wet_skills,Immunoprecipitation of RNA-binding Proteins  in _S. cerevisiae_,,,,,I was responsible for designing the experimental setup and generating the data for the RNA-binding protein interactome investigation. ,__Keywords:__ Yeast | Protein Immunoprecipitation | Experimental design ,,,,TRUE
wet_skills,Mass Spectrometry Quantitative Proteomics,,,,,I used chemical labeling (DML) and label-free mass spectrometry sample preparation protocols on several projects,__Keyword:__ Mass spectrometry | DML | LFQ | In-gel digestion ,,,,TRUE
dry_skills,Network-based Assignment of RNA-Binding Proteins' Functionality,,,,,"Functionality was inferred from associations with annotations at the domain, molecular function, and pathway levels.","Function-based networks were created from quantitative proteomics data and made accessible through an interactive, user-friendly web interface.",__Keywords:__ Network | Functional analysis | Pfam | GO | KEGG | R Shiny,,,TRUE
dry_skills,Infectome Profiling of Three _Leishmania_ Species ,,,,,_M. musculus_ proteome changes were investigated after infection with _Leishmania_.,Protein orthologs between the _Leishmania_ species were established.,__Keywords:__ Proteome | Differential expression | Protein orthology ,,,TRUE
dry_skills,Embryonic Development Proteome Profiling of _Xenopus_ Species,,,,,Clustering (Self Organizing Maps) and dimensionality reduction techniques (Principal Component Analysis) were applied.,__Keywords:__ Proteome | Differential expression | SOM | PCA | Clustering ,,,,TRUE
dry_skills,Scoring Function for RNA-Seq Differential Expression Assessment,,,,,"A scoring function was developed around three RNA-Seq differential expression assessment R packages (DESeq2, edgeR, limma+voom)",__Keywords:__ NGS | RNA-Seq | Quality control | Differential expression,,,,TRUE
dry_skills,ChIP-Seq Characterization of a Novel ATPase in _T. brucei_,,,,,H2A.Z deposition was investigated and visualized with genome tracks ,__Keywords:__ NGS | ChIP-Seq | Genome tracks,,,,TRUE
conferences,Conferences,,,,,2022 | Statistical data analysis for genome-scale biology | Flash talk,2021 | Network biology | Plenary talk,2019 | FEBS advanced course | Poster presentation ,,,TRUE
conferences,Courses,,,,,2022 | Data visualization for scientists,2021 | Scientific writing,2020 | Convincing scientific presentations,2020 | Statistical Inference course | <a href='https://coursera.org/share/b7d93b26dd10fa7719ed0ca7c7d3f470'> Coursera certificate</a>,2020 | Regression Models course | <a href='https://coursera.org/share/df577759d0cb2659bc1a31f8669a0815'> Coursera certificate</a>,TRUE
