Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,in_resume
education,"PhD. Candidate, Quantitative Proteomics",JGU University,"Mainz, Germany",2018,,"Working on quantitative proteomics, with a focus on RNA-Protein interactions",,,,,TRUE
education,MSc in Omics Data Analysis,University of Vic,"Barcelona, Spain",2016,2018,Master thesis: Development of a scoring function for finding differential expression - application to Lolium Perenne,Erasmus + grant fellow,,,,TRUE
education,Bachelor in Biochemistry,University of Barcelona,"Barcelona, Spain",2011,2016,Bachelor thesis: NMR studies on IDP proteins - application to alpha synuclein,Erasmus + grant fellow,,,,TRUE
online_education,Statistical Inference course,"Coursera, Johns Hopkins University",,,2020,Part 1 of the data science specialization,https://coursera.org/share/b7d93b26dd10fa7719ed0ca7c7d3f470,,,,TRUE
research_positions,PhD Student,Butter laboratory - IMB (JGU university),"Mainz, Germany",2018,,PhD student with Dr. Falk Butter (F.Butter@imb-mainz.de),"Genomics (RNAseq, ChIPseq)  and proteomics data management, analysis and integration. ",Project 1: Characterization of the RNA binding proteins interactome in yeast,Project 2: Developmental proteome quantificacion in Xenopus ,Publications: 5 co-author papers,TRUE
research_positions,Research assistant,Butter laboratory - IMB (JGU university),"Mainz, Germany",,2018,Research assistant with Dr. Falk Butter (F.Butter@imb-mainz.de),"Genomics (RNAseq, ChIPseq)  data management, analysis and integration. ",,,,TRUE
research_positions,Master student,Narcís Fernandez-Fuentes - IBERS (Aberystwyth university),"Aberystwyth, UK",,2017,MSc student with Dr. Narcís Fernandez-Fuentes (naf4@aber.ac.uk),Development of a scoring function for assessing transcriptome differential expression on Lolium Perenne,"Publications: 1 first-authtor paper, 1 co-author paper",,,TRUE
research_positions,Bachelor student,Konrat laboratory - MFPL (Vienna university),"Vienna, Austria",2015,2016,BSc student with Dr. Robert Konrat (Robert.Konrat@univie.ac.at),Recording and Analysis of NMR Spectroscopic Data,,,,TRUE
academic_articles,Differential gene expression and gene ontologies associated with increasing water-stress in leaf and root transcriptomes of perennial ryegrass (Lolium perenne),PLOS one,,,2019,"Authored with Ann Thomas, Ian Armstead, Narcis Fernandez-Fuentes",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0220518,,,,TRUE
academic_articles,Characterization of the Novel Mitochondrial Genome Segregation Factor TAP110 in Trypanosoma brucei ,Journal of Cell Science,,,2021,"Co-author with Simona Amodeo, Ana Kalichava,  Eloise Bertiaux, Paul Guichard, Falk Butter and Torsten Ochsenreiter",https://jcs.biologists.org/content/early/2021/02/10/jcs.254300,,,,TRUE
conferences,Workshop on chromatin proteomics,FEBS advanced course,"Heraklion, Greece",,2019,Conference attendance and poster presentation,Mass spectrometry based quantitative proteomics to systematically characterize long non-coding RNAs ,,,,TRUE
conferences,Chromosome territories and nuclear architecture,IMB conference,"Mainz, Germany",,2019,Conference attendance and organization helper,,,,,TRUE
online_education,Regression Models course,"Coursera, Johns Hopkins University",,,2020,Part 2 of the data science specialization,https://coursera.org/share/df577759d0cb2659bc1a31f8669a0815,,,,TRUE
online_education,Practical Machine learning course,"Coursera, Johns Hopkins University",,2021,,Part 3 of the data science specialization,,,,,TRUE
academic_articles,Characterization of two novel proteins involved in mitochondrial DNA anchoring ,bioRxiv,,,2020,"Co-author with Simona Amodeo, Anneliese Hoffmann, Irina Bregy, Hélène Baudouin, Beat Haenni, Benoît Zuber, Falk Butter and Torsten Ochsenreiter",https://www.biorxiv.org/content/10.1101/2020.07.22.215871v1,,,,TRUE
academic_articles,The double-stranded DNA-binding proteins TEBP-1 and TEBP-2 form a telomeric complex with POT-1,bioRxiv,,,2020,"Co-author with Sabrina Dietz, Miguel Vasconcelos Almeida, Emily Nischwitz, Jan Schreier, Nikenza Viceconte, Christian Renz, Alejandro Ceron-Noriega, Helle D. Ulrich, Dennis Kappei, René F. Ketting, Falk Butter",https://www.biorxiv.org/content/10.1101/2020.08.19.256388v1,,,,TRUE
academic_articles,PAR-TERRA is the main contributor to telomeric repeat-containing RNA transcripts in normal and cancer mouse cells,RNA,,,2020,"Co-author with Nikenza Viceconte, Axelle Loriot, Patrícia Lona Abreu, Marion Scheibe, Falk Butter, Charles De Smet, Claus M. Azzalin2 Nausica Arnoult and Anabelle Decottignies ",https://rnajournal.cshlp.org/content/27/1/106,,,,TRUE
academic_articles,A comparison of shared patterns of differential gene expression and gene ontologies in response to water-stress in roots and leaves of four diverse genotypes of Lolium and Festuca spp. temperate pasture grasses,PLOS one,,,2021,"Co-author with  Yuan Fu, Ann Thomas, Dagmara Gasior, John Harper, Alan Gay, Charlotte Jones, Matthew Hegarty, Torben Asp, Ian Armstead, Narcis Fernandez-Fuentes",https://doi.org/10.1371/journal.pone.0249636,,,,
academic_articles,A novel SNF2 ATPase complex in Trypanosoma brucei with a role in H2A.Z-mediated chromatin remodelling,bioRxiv,,,2021,"Co-author with Tim Vellmer, Laura Hartleb, Susanne Kramer, Elisabeth Meyer-Natus, Falk Butter, Christian J Janzen",https://doi.org/10.1101/2021.04.06.438560,,,,
conferences,Network biology,CSH,"NYC, USA",,2021,Conference attendance and oral presentation,Characterization of the RBP interactome in yeast by quantitative proteomics,,,,
