Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,in_resume
education,PhD Candidate in Quantitative Proteomics,JGU University,"Mainz, Germany",2018,,PhD thesis: Computational approaches to mass spectrometry based quantitative proteomics,,,,,TRUE
education,M.Sc. in Omics Data Analysis,University of Vic,"Barcelona, Spain",2016,2018,Master thesis: Development of a scoring function for finding differential expression - application to Lolium Perenne,Erasmus + grant fellow,,,,TRUE
research_positions,PhD Student,Butter laboratory - IMB (JGU university),"Mainz, Germany",2018,,PhD student with Dr. Falk Butter (F.Butter@imb-mainz.de),"Genomics (RNAseq, ChIPseq)  and proteomics data management, analysis and integration. ",Project 1: Characterization of the RNA binding proteins interactome in yeast,Project 2: Developmental proteome quantificacion in Xenopus ,Publications: 5 co-author papers,TRUE
research_positions,Master student,Narcis Fernandez-Fuentes - IBERS (Aberystwyth university),"Aberystwyth, UK",2017,2018,MSc student with Dr. Narcís Fernandez-Fuentes (naf4@aber.ac.uk),Development of a scoring function for assessing transcriptome differential expression on Lolium Perenne,"Publications: 1 first-authtor paper, 1 co-author paper",,,TRUE
academic_articles,Differential gene expression and gene ontologies associated with increasing water-stress in leaf and root transcriptomes of perennial ryegrass (Lolium perenne),PLOS one,,2019,2019, https://doi.org/10.1371/journal.pone.0220518,,,,,TRUE
academic_articles,Characterization of the Novel Mitochondrial Genome Segregation Factor TAP110 in Trypanosoma brucei ,Journal of Cell Science,,2021,2021,https://doi.org/10.1242/jcs.254300,,,,,TRUE
academic_articles,PAR-TERRA is the main contributor to telomeric repeat-containing RNA transcripts in normal and cancer mouse cells,RNA,,2020,2020,https://doi.org/10.1261/rna.076281.120,,,,,TRUE
academic_articles,A comparison of shared patterns of differential gene expression and gene ontologies in response to water-stress in roots and leaves of four diverse genotypes of Lolium and Festuca spp. temperate pasture grasses,PLOS one,,2021,2021,https://doi.org/10.1371/journal.pone.0249636,,,,,TRUE
academic_articles,A novel SNF2 ATPase complex in Trypanosoma brucei with a role in H2A.Z-mediated chromatin remodelling,PLOS pathogens,,2022,2022,https://doi.org/10.1101/2021.04.06.438560,,,,,TRUE
academic_articles,The double-stranded DNA-binding proteins TEBP-1 and TEBP-2 form a telomeric complex with POT-1,Nature Communications,,2021,2021,https://doi.org/10.1038/s41467-021-22861-2,,,,,TRUE
conferences,Statistical Data Analysis for Genome-Scale Biology,Bioconductor summer school,"Bressanone-Brixen, Italy",2022,2022,Conference attendance and flash talk,,,,,TRUE
conferences,Network biology,CSH,"NYC, USA",2021,2021,Conference attendance and oral presentation,Characterization of the RBP interactome in yeast by quantitative proteomics,,,,TRUE
conferences,Workshop on chromatin proteomics,FEBS advanced course,"Heraklion, Greece",2019,2019,Conference attendance and poster presentation,Mass spectrometry based quantitative proteomics to systematically characterize long non-coding RNAs ,,,,TRUE
education,B.Sc. in Biochemestry,University of Barcelona,"Barcelona, Spain",2009,2016,Bachelor thesis: NMR studies on alpha-synuclein,Erasmus + grant fellow,,,,
